Rome_W_3_3_23.txt,cat_3_3_22.txt,gauchy_3_3_22.txt,Sev_Z_3_3_23.txt,trevisa_3_3_23_orig.txt,Val_S_3_3_23.txt
contrahuntur ligna et faciunt in nauibus rimas,estrenyen se los fusts e fan en les naus fenadures obertures,le dit mairien se retrairoit et seroient es nefz crevaches,fazerse yan grandes aberturas en ellos,þe tymber schrynþek and maþeþ in þe schip chynes and cliftes,· los maderos se encogen e fazese a venturas en las naues
quibus in nauibus nihil periculosius esse potest,de les quals quax neguna cosa no pot ésser més perillosa en les naus,et aucunes fendures perilleuses,e esto seria muy grand peligro,and no kyng mowe be more perilous þan þat,e ninguna cosa non puede ser mas periglosa en las naues
Durum est enim intendere simul bellis naualibus,quar dura cosa és ensems entendre a les batayles navals,pour quoy ce seroit grant follie de soy mettre sur mer par battaille en teles nefz ou gallees faites de vert mairien,Ca quando ouiessen a lidiar tanto avrian,And it is hard to taþe hede at ones to batailles of schippes,que estas aberturas porque graue cosa es de tener mientes a estas dos cosas en vno a la batalla de las naues
et exponere se periculis ne puppis per rimas naufragium patiatur Viso qualiter incidenda sunt ligna,e posar se a perills que la nau no sutenga naufrayg o perill per les fenadures Vist en qual manera los fusts deuen ésser taylats e,lesqueles peuent de legier pourrir come dit est Maintenant nous dirons comment se doit combatre sur eaue en nefz et gallees,que fazer en cerrar los forados que se no podrian defender de los enemigos,and to putte hemself to peril lest þe schippe be broþe oþer sonk For it is iknowe how schip tymber schulde be feld,e al periglo de las aberturas por las quales la naua puede peresçer · visto en qual manera es de taiar la madera
et quomodo reseruanda,·n qual manera degen ésser estogyats,Si est a sçavoir,La segunda cosa,and be let abyde,e en qual manera es de guardar
,,,,for to dryge,
ut ex eis nauis debite valeat fabricari,per tal que d' els nau pusca ésser feta degudament,que tout ainsi come en battaille auz champz,que nos conuiene de saber es,and clynge for to maþe wel a schip þerof,e de poner a secar por que della se pueda fazer la naue conueniblemente
restat videre quomodoin naui bene fabricata committenda sunt bella,roman a veure en qual manera en nau ben feta degen ésser fetes batayles,il couvient les bateilleurs bien estre armez,en como se ha de fazer la batalla en la naue bien fecha e bien basteçida,it is to wetynge how in a schip so imaad a bataille scholde be geue,· finca de veer commo son de acometer las batallas en la naue bien fecha e bien formada
,La batayla naval,,,,
Habet autem nauale bellum quantum ad aliqua similem modum bellandi cum ipsa pugna terrestri,quant a algunes coses a semblant manera de bataylar ab la batayla de la terra cové que,,E maguera la batalla campal e la de la mar ayan muy grand semejança en vno,And touchynge som doynge a bataille of schippes haþ som manere doynge liehe to manere doynge of bataille of þe feld,ca la batalla de las naues a semeiança de lidiar en algunas cosas con la batalla de la tierra Ca assi commo en la batalla de la tierra
,,,,,· conuiene
Nam sicut terrestri pugna oportet pugnantes bene armatos esse,·ls batayladors sien bé armats encara,,Ca en cada vna dellas deuen ser los lidiadores bien armados,For as in bataille of þe feld it nedeþ þat figtynge men be wel iarmed,que los lidiadores sean bien armados e avn
et bene se scire a persecutionibus protegere,que sàpien bé defendre si mateys del colps,et bien eulz sçavoir couvrir,e saberse bien encobrir de los golpes,and cunne wel defende hemself fro stroþes,que se sepan bien cobrir e guardar de los colpes
et hostibus vulnera infligere sic et haec requiruntur in bello nauali Immo in huiusmodi pugna oportet homines melius esse armatos,e naffrar los enamichs axí matex aquestes coses són requestes en batayla naval ans en tal batayla cové que ·ls hòmens sien meylor armats,et ferir leurs ennemis Pareillement couvient il a ceux,Empero en la batalla de la mar deuen ser los marineros mas armados porque pueden mejor sofrir el peso de las armas,and geuen enemyes sore stroþes and woundes and so þis nedeþ in bataille of þe see And also in suche figtynge it nedede þat men be betere iarmed þan in figtynge in londe,e que sepan ferir a los enemigos · Bien assi todas estas cosas fazen menester en la batalla de la naue · Ante conuiene que en esta batalla de la naue sean los omnes · meior armados
quam in terrestri quia cum pugnatores marini quasi fixi stent in naui,que en terra quar com los batayladors de la mar estiguen quax fermats,qui se combatent sur mer,Ca estan en vn lugar,Panne for men þat figten in þe see stondeþ as it were ipigt,que en la de la tierra por que los lidiadores de la mar esten firmes
et quasi modicum se moueant melius sustinere possunt armorum pondera quare eorum armatura grauior esse debet,e poch se moguen meylor poden sustenir lo pes de les armes perquè lur armadura deu ésser pus fort,et est a sçavoir que X choses sont par lesqueles ceulz quy se combatent sur mer assaillent,e no se mueuen como los otros E avn porque la batalla de la mar es,and meuen but a lite þei mowe þe better bere heuy armer wherfore here ärmere scholde be þe more heuy,e mueuen se muy poco · Et por ende meior pueden sofrir el peso de las armas ·Por la qual cosa las armaduras dellos deuen ser
Possumus tamen quantum ad praesens decem enumerare per quae marini pugnatores hostes impugnare debent,Emperò quant al present nós podem nombrar x coses per les quals los batayladors mariners deuen impugnar los enamichs,et envahïssent leurs ennemis,mas peligrosa que la de la tierra E quanto a esta batalla de la mar han menester los lidiadores diez cosas,But as it longeþ to þis doynge we may reþene ten by þe whiche see figtynge men scholde assaylle here enemyes,mas pesadas · Enpero quanro pertenesçe a lo presente podemos contar diez cosas por las quales los lidiadores de la mar pueden acometer e vençer a sus enemigos
,,,para bien lidiar,,
Primum est ignis quem Incendiarium vocant,La primera cosa és foch lo qual appel ·len incendiari o encenador,La premiere si est,Lo primero han menester fuego de alquitran,þe firste is fuyre þat is icleped incendiarius,· Lo primero es fuego fuerte que ellos llaman en ençendimiento o fuego de alquitran
,,,,,ca conuine de auer en las naues mucha usija de tierra
,,,,,assi commo cantaros
Expedit enim eis habere multa vasa plena pice,quar cové haver moltes olles plenes de pegunta,qu' ilz aient moult de vaisseauz plains de poy noire de poy gaune,Ca conuieneles de auer muchos orços llenos de pez,For it scholde haue wik hem manye vesselles ful of pich,e otros belhezos tales e que sean llenos de pez
sulphure,de soffre,de souffre,e de piedra sufre e de rezina,of brymston,e de piedra sufre
rasina oleo,de rasina e d' oli,et d' huille envollepez d' estoupes,e de olio,of roseyn of oyle,e de rasina e de olio
quae omnia sunt cum stupa conuoluenda Haec enim vasa sic repleta sunt succendenda,les quals coses totes deuen ésser mesclades ab estopa e aquestes olles axí plenes deuen ésser enceses,desqueles mixtions ainsi embrasee on doit gecter es nefz,que este todo enbuelto con estopas E quando vinieren ala batalla deuenlos encender,and aile þes scholde be wrapped wik herdene And þese vesselles so ful scholde be isette afuyre,· las quales cosas todas son de enboluer con estopa · Et estos belhezos tales assi llenos son de ençender
et proiicienda ad nauem hostium,e gitades a la nau dels enamichs,et vaisseaulz de ses ennemis en potz de terre,e lançar en la naue de los enemigos,and iþrowe in to þe schippe of enemyes,e de lançar a las naues de los enemigos
Ex qua proiectione vas frangitur,per lo qual gitament la olla és trencada,Et quant ces vaisseaulz de terre se brisent au gecter,e echandolos assi quebraran,And þe vessel breþe,· Et lançandolos assi en las naues quebrantan se los cantaros
et illud incendiarium comburitur et succendit nauem,e aquell encendiari crema e encén la nau,ilz allument les nefz esquelez ilz chieuent,e encenderan la naue E quando echaren el fuego,and sette afuyre þe mater of þe brennynge and setteþ þe schip afuyre,e aquel fuego fuerte ençiende e quema la naue
Sunt enim multa talia in naui proiicienda ut ex multis partibus possit nauis succendi,E deuen ésser gitades moltes aytals en la nau per ço que de moltes parts la nau pusca ésser encesa,et a l' heure,,And manye suche scholde be þrowe in to þe schip for to sette þe schip afuyre in manye places,· Et deuen echar muchos tales cantaros en la naue de los enemigos por que de muchas partes se pueda quemar la naue
et cum proiiciuntur talia,e com aytals són gitades lavors deu ésser feta gran,que on gecte ce feu par ceste maniere,,And whanne suche thingges ben iþrowe,· Et
tunc est contra nautas committendum durum bellum,e fort batayla contra les nauxes per tal,on doit asprement assaillir les ennemis adfin,estonçes deuen brauamente lidiar,it is to doynge for to figte harde,entonçe deuen acometer muy fuerte batalla contra los enemigos
ne possint currere ad extinguendum ignem,que no pusca ajudar apagar lo foch En aprés fet,que ilz n' aient espace de estaindre le feu,por que non lo puedan matar,and sore wik þe schip men so þat þei mowe not a while quenche þe fuyre,por que se non puedan acorrer para matar el fuego
Secundo ad committendum marinum bellum multum valent insidiae,batayla de mar valen molt espies quar,qu' on leur gecte en leurs navires La seconde raison,Lo segundo ha menester de poner çeladas Ca assy,þe seconde buschements helpeþ moche in batailles of þe see,· Lo segundo para acometer batalla en la mar valen mucho las çeladas
Nam sicut in terra ponuntur insidiae militum qui ex improuiso inuadentes hostes eos terrent,axí com en terra són posades espies de cavallers qui sens previsió de lurs enamichs o sens que lurs enamichs no se' n guarden esvaexen e espaordexen ell,si est car on doit avoir aucunes espies pour guettier quant les ennemis sont despourveuz La tierce chose,como en tierra se ponen las çeladas por que fieran a desora sobre los enemigos,For as in þe lond ben isette boschementes of knygtes þat fallen and resen on enemyes vnwaar and affrayen hem,ca assi commo en la tierra los caualleros ponen çeladas a los enemigos por que sin su apercebimiento los puedan acometer e los espanten a desora
et de facili vincunt sic in mari post aliquas insulas fiunt insidiae,e leugerament vençen axí en la mar aprés d' algunes illes,si est car ceulz quy se combatent en eaue doivent tous jours mettre a leur pouor eulz en la parfonde eaue,Assy en la mar se ponen en pos de algunas yslas,and ouercomen hem sone so in þe see byhynde som ilondes ben imaad boschementes so þat þe figtynge men breþen out,e los venzcan de ligero assi en la mar se ponen çeladas en pos algunas islas
,són fetes espies,,,,
,per tal que,,,,
ut marini pugnatores ex improuiso irruentes in hostes eos facilius vincant Tertio est circa marinum bellum attendendum ut semper pugnantes nauem suam faciant circa profundum aquarum,·ls batayladors mariners sens previsió dels enamichs vinent soptosament sobre ells pus leugerament los vençen Encara envers la batayla de la mar deu hom guardar que aquells qui bataylen tostemps facen la nau sua envers lo pregon de les aygües,et les vaisseaulz de leurs ennemis mener a terre devers le rivage La quarte chose si est car au mast de la nef on doit liier le tref quy est ferré d' une partie,por que puedan a desora ve nir e dar sobre las naues de sus enemigos Lo tercero deuen los marineros alçarse a lo mas fondo de la mar,and fallen on enemyes vnwaar and ouercome hem þe sonnere þe þridde in bataille of þe see it is to doynge þat þey þat sayllen haue alwey here schip in deep water,assi que los lidiadores de la mar sin apercibimiento de sus enemigos den sobre ellos a desora por que mas ligeramente los venzcan · lo terçero en la batalla de la mar conuiene de tener mientes que los que lidian sobre mar sienpre pongan su naue a la fondeza de las agüso en la mar mas
et nauem hostium impingant ad littus,e que enpenguen la nau dels enamichs a la rivera,et de l' autre,assi que puedan las naues de los enemigos enpuxar a la tierra o a las riberas,and dryue þe schip of enemyes to þe clyfward,alta e que enpuxen la naue de los enemigos faza la ribera
quia pugnandi impetum perdunt qui detrahuntur ad terram Quarto ad arborem nauis suspendendum est lignum quoddam longum ex utraque parte ferratum,per tal com aquells qui són tyrats a terra perden la voluntat de bataylar Encara més en l' arbre de la nau deu ésser pengyat i fust lonch ferrat de quescuna part,par quoy on puelt ferir la nef et les maronniers;,por que pierdan la virtud de marinar e de lidiar Lo quarto deuen atar al mastel de la naue vn grand madero ferrado de ambas partes,for þey þat ben idrawe to lond lesen þe rees of asayllynge þe ferþe to þe mast of þe schip scholde be honged a long tree iheled wik ire in eyþer ende,por razon que pierden el poder de lidar aquel los que se lleguan a la tierra · Lo quarto conuiene de colgar al maste de la naue vn madero luengo
quod ad percutiendum tam nauem quam nautas se habeat quasi aries cum quo teruntur muri ciuitatis obsessae,a ferir en la nau e aquells de la nau lo qual fust sia axí com lo moltó ab lo qual són trencats los murs de la ciutat assetgyada,et est cil ainsi comme le mouton dessu dit de quoy on brise les murs des chasteaulz assis,para ferir en las naues e en los marineros E este tal es como el carnero con que foradan los muros de la cibdad cercada,for to smyte bothe schip and schip men as þe instrument þat hatte þe wether smytek þe walles of a cyte þat is byseged,e ferrado de a mas partes para ferir tan bien en la naue commo en los marineros que sea tal commo el carnero con el qual suelen quebrar los muros de la çibdat çercada
Debet autem sic ordinari lignum illud ut ligamentum retinens ipsum possit deprimi,e aquells fus deu ésser axí ordonat que la ligatura que ell té pusca ésser baxada,Et doit on ce fust liier en tele maniere que on le puist abaissier,E deuese en tal manera atar con el mastel por que lo puedan lançar,And þat tre scholde be ordeyned in þis wise so þat þe bond þat holdeþ it may be meued vpward,· Et deue este madero assi ser ordenado que con el atadura que el tiene se pueda alçar
et eleuari quia hoc facto maior habetur commoditas ut cum ipso percuti possit tam nauis quam etiam existentes in ipsa,e levada quar fet açò és major avientena que ab ell pusca ésser ferida axí la nau com aquells qui stan en ella,et lever quant on veult pour ferir la nef ennemie et ceux qui sont dedens,e traer a ssi como quien lança garrocha,and dounward and so is þe more avantage for to smyte þenviþ boþe þe schippe and men þat ben þerinne þe fifte,e baxar ca esto echo siguiesse meior prouecho del ca pueden ferir tan bien en la naue commo en los que estan en ella
Quinto in bello nauali habenda est copia ampliarum sagittarum,Encara en batayla naval deu hom haver còpia de sagites amples,La quinte chose si est car on doit avoir moult de saiettes a larges fers pour perchier les voilles;,Lo quinto deuen auer muy anchas saetas con,in bataille of schippes scholde be many brood arwes,assi commo con garrocha lo quinto en la batalla de la mar conuiene de auer grand conplimiento de saetas anchas
cum quibus scindenda sunt vela hostium Nam velis eorum perforatis,ab les quals deuen ésser taylades les veles dels enamichs quar foradades les veles d' aquells,car quant les voilles des adversaires sont perchés,que rompan las velas Ca rotas e foradadas las velas,for to þerue þe sailles of enemyes and maþe þerinne many greet holes and col slettes For whanne in þe sailles ben many holes,· con las quales se pueden ronper las uelas e los treos de las naues de los enemigos ca foradadas las velas
et non valentibus retinere ventum,e que no poden retenir los enamichs,ilz ne peuent tenir grant vent,non podran retener los vientos,and slittes and mowe not holde wynd,e los treos non pueden retener el viento · Et
non tantum possunt ipsi hostes impetum habere pugnandi nec etiam possunt sic faciliter recedere si volunt declinare a bello,no poden haver tanta voluntat o tant gran poder de bataylar ne encara poden axí leugerament partir si ·s volen tolre de bataylar,par quoy les ennemis ne s' en peuent pas si legierement fuir et eulz saulver,ni podran los marineros auer poder para lidiar nin para ferir,þan þe enemyes mowe not holde ful cours for to smyte noþer mow sone flee gif þey wol wikdrawe out of þe bataille,assi non pueden los enemigos auer tanta fuerça para acometer nin para lidiar nin a vn se pueden yr ligeramente ni pueden foyr si quisiere foyr de la batalla
Sexto consueuerunt nautae habere ferrum quoddam curuatum ad modum falcis bene incidens,En après aquells de la nau han acustumat haver i ferre corp a manera de falç ben taylant,La VIe chose si est car les mariniers doivent avoir un fer courbé,Lo sesto deuen auer los marineros vn fierro coruo a manera de foz que taje bien,þe sixte schip men vse to haue a croþed ire as it were an hook ful scharp,· Et lo sexto suelen los marineros auer vn fierro coruo bien agudo e bien taiante a manera de foz
quod applicatum ad funes retinentes vela statim incidit ipsa Velis autem sic incisis,lo qual acostat a les cordes qui retenen les veles de continent tayla elles e,ainsi comme une fauchille bien trenchant que ilz gectent auz cordez,que puedan echar a las cuerdas que retienen las velas assy que las tajen,and þeruyng and þerueþ þenviþ anoon ropes þat holdeþ þe sailles And whan þe sayles ben so iþet,· el qual echan a las cuerdas del maste que tienen la uela e tirado faza assi cortan las cuerdas e caen las velas Et quando son
,,qui tiennet auz voilles des nefz,,,
et cadentibus ab arbore subtrahitur ab hostibus ne sic pugnare possint quia,cahent del arbre és tolt als enamichs que no poden axí bataylar quar,et les coppent par quoi les voilles chieuent si n' est pas la nef,e que derriben las velas Ca las velas derribadas nunca podran lidiar los que estan en las naues,and þe maste ben ifalle me wikdrawen fro þe enemyes so þat þei mowe not figte For by suche kyttynge of saylles,assi cortas las velas del maste e derribadas non han poder los marineros de se defender de los enemigos Ca derribadas
per talem incisionem velorum redditur nauis pigrior,per tal trencament de les veles és retuda la nau pus porosa,,Lo seteno deuen auer harpones con,and of ropes þe schip is þe more slow,assi las velas la naue es mas perezosa
et quodammodo inutilior ad pugnandum,e en alguna manera no val res a bataylar,si convenable a batteillier,que fieran en las naues,and þe lasse mygty to figte,e non puede yr por la mar nin ha poder de lidiar
Septimo consueuerunt e iam nautae habere uncos ferreos fortes ut cum vident se esse plures hostibus cum illis uncis capiunt eorum naues ut non permittant eos discedere,Encara les nauxes han acustumat de haver corbeylons de ferre forts perquè com ells vehen que són més que ·ls enamichs ab aquells corbeylons o ab aquells ganxos partien les naus d' els e no ·ls lexen anar,La VIIe chose si est que les mariniers seulent avoir aucunes fers courbés desquelz ilz acrochoient les nefz de leurs ennemis qu' ilz ne peussent fuir,assy que quando vieren que quieren fuyr que los prendan e no los dexen fuyr,þe seuenþe schip men vsen to haue strong yren croþes þat þei mowe whanne þey ben among enemyes wik þilþe croþes taþe here schippes þat þei mowe not passe awey þeig þei wolde,· lo ·vij° · suelen avn los marineros auer coruos de fierro muy fuertes e quando veen que son mas que los enemigos con aquellos coruos prenden las naues dellos et non los dexan foyr
,,,,,· Lo
Octauo in nauali bello est haec cautela attendenda ut de calce alba puluerizata habeant multa vasa plena quae ex alto sunt proiicienda in naues hostium quibus ex impetu proiectis et fractis eleuatur puluis,Encara més en la batayla naval deu ésser ajustada aquesta cautela e hagen moltes olles plenes de calç blancha pulverizada les qual deuen ésser gitades dalt en les naus dels enamichs les quals gitades e trencades és levada la pols,La VIIIe chose si est que on doit avoir plenté de vaisseualz de terre plains de cauch et de pouldre lesquelz se brisent,Lo octauo deuen auer muchos orços llenos de cal que puedan echar en las naues de los enemigos assi que los puedan cegar con el poluo,þe eigte in bataille of schippes þis cautel scholde be knowe þat þei scholde haue manye vessels ful of whigt lyme oþer of chalk þat schold be þrowe fro hiyg place in to schippes of enemyes And whanne þei ben stronglich iþrowe and ibroþe pouder ariseþ,·viij̇° · es de tomar esta cautela en la batalla dela naue que conuiene que se fincan muchas cantaras de cal poluorizada Et quando fuere la batalla que lançen esta cal en la naue de los enemigos e sean lançados de alto por que quando cayeren quiebre e salga la cal e el poluo
(ut supra diximus in bello terrestri ) et subintrat hostium oculos et adeo offendit eos ut quasi caeci videre non possint,axí com damunt havem dit en la batayla de la terra e sots entra als ulls dels enamichs e axí agreugya ells que quax axí com a cechs ell no poden veure,quant on les gecte sur les ennemis si entre la cauch en leurs yeulz pour quoy ilz sont ainsi comme aveugles,por que se no puedan defender,as we seide tofore in bataille in londe and comeþ in to þe eygen of enemyes and greueþ hem so þat þei ben as it were iblynded and mowe not see,assi commo dixiemos dessuso en la batalla de la tierra · Esto tal ciega los oios de los enemigos assi que non podran ver e assi commo çiegos no se podran defender
quod in bello nauali est valde periculosum,la qual cosa és fort perillosa en batayla naval,quy est moult perilleuse chose;,La qual cosa es muy peligrosa,And þat is ful perelous in bataille of schippes,· la qual cosa es muy periglosa en la batalla de las naues
,,,,,assi commo en la de la tierra
quia ex omni parte bellantes in tali bello vident sibi imminere mortem quare si oculi bellantium in tali pugna ex puluere calcis sic offenduntur ut videre non possint de facili vel perimuntur ab hostibus vel submerguntur in aquis Nona cautela est habere multa vasa plena ex molli sapone quae cum impetu proiicienda sunt ad naues hostium et hoc super loca illa in quibus contingit hostes existere ad defendendum naues Nam vasis illis confractis in huiusmodi locis loca illa,per tal com de tots parts los batayladors en tal batayla la vehen que és a ells appereylada la mort perquè si ·ls ulls d' aquells qui batayllen en tal batayla axí són agreugyats per la pols de la caç que ells no poguen veure leugerament o són mort per los enamichs o són negats en les aygües La ix cautela és haver moltes olles plenes de sabó moll les quals sobrosament deuen ésser gitades a les naus dels enamichs e açò sobre aquells lochs en los quals los enamichs estan a deffendre les naus quar trencades aquelles olles en tals lochs aquells lochs,car ceulz qui sont aveuglez on les a tantost occis La IXe chose si est car on doit avoir pluseurs vaisseaulz de terre plains de mol sablon lesquelz on doit gecter a ses ennemis droit aux lieux ou ilz sont car ce sablon frecz est si glachant,tanbien en la batalla de la tierra como de la mar Lo noueno deuen auer muchos orços llenos de xabon que echen en las naues de los enemigos assy que los no dexen andar por las naues Ca el xabon faze mucho escorrer e deleznar los pies,for in suche a bataille figtyng men ben in peril of deeþ in eche side Wherfore gif eyen of figtynge men in suche a bataille ben so igreued wik poudre of lyme oþer of chalþe so þat þei mowe not isee þei mowe ligtliche be spilde of here enemyes oþer adreynt in þe see þe nynþe cautel is to haue manye vessels ful of nesche soope þat scholde be strongliche iþrowe in to þe schippes of enemyes and þat on þe place in þe whiche þe enemyes stonden inne to defende þe schippes For whanne þilþe vessels ben ibroþe,·Ca acometiendo los de cada parte los que estan en las naues non veen donde les viene la muerte Por la qual cosa si los oios de los que lidian en la naue assi se ciegan del poluo de la cal que non pueden ver de ligo o morran a manos de sus enemigos o seran anegados en la mar · La ·ix · cautela es auer muchos cantaros llenos dexabon muelle que lançen de rezio en las naues de los enemigos · Et esto sobre aquellos logares en que an de estar los enemigos para defender las naues Ca quebrantados aquellos cantaros en las naues en aquellos logares fazen se escorredizos
per saponem liquidam reddunturadeo lubrica quod hostes ibi ponentes pedes statim labuntur in aquis,per rahó del sabó moll són fets axí lisos que ells enamichs posats aquí los peus,que tantost come ilz passent dessuz au bord du vaissel ilz chieuent e l' eaue,que se no puedan los omes tener,þilþe places ben imaad so slidere by nesche sope þat whanne enemyes setten here feet þerinne anon þey fallen in to þe see,por el xabon en tal manera que los enemigos non pueden y tener los pies e caen en la mar Mas la
,,,,,·x°
,tant tost es leneguen,,,,
Est etiam et decima cautela quasi pernitiosior omnibus aliis Nam reperiuntur aliqui marinarii qui diu sub aquis durare possunt,o allissen o cahen en les aygües La x cautela encara és pus mala o pus mortal de totes quar alguns mariners són atrobats qui longament poden estar o durar sots les aygües,Et la Xe chose si est car on treuve bien aucuns mariniers qui durent longuement en l' eaue,Lo dezeno deuen auer consigo marineros que puedan entrar so la mar,þe tenþe is as it were worst of alle For som schip men mowe dure longe vnder water,· cautela es peor que todas las otras Ca ay algunos marineros en la mar que puede mucho estar so el agua
,Les nauxes,,,,
